iter	Logloss
0	0.5814441195
1	0.4988047208
2	0.4386970312
3	0.3928607534
4	0.3612998369
5	0.3375137469
6	0.3198091371
7	0.3059475116
8	0.2959464159
9	0.2877136256
10	0.2820229621
11	0.2771851944
12	0.2730551015
13	0.2700226614
14	0.2673436895
15	0.2651127251
16	0.2635033837
17	0.2622500723
18	0.2612938024
19	0.2602094402
20	0.259367911
21	0.2586771256
22	0.2581908012
23	0.2577070591
24	0.2574043398
25	0.2571087644
26	0.2568805108
27	0.2566168919
28	0.2563734963
29	0.2561790526
30	0.2558893605
31	0.2557457684
32	0.2555146769
33	0.2553363405
34	0.2551086758
35	0.2549441155
36	0.2548404041
37	0.2546810392
38	0.2545056422
39	0.2543480165
40	0.2542796454
41	0.254181543
42	0.2540774604
43	0.2539502993
44	0.2538817496
45	0.2538090474
46	0.2536543951
47	0.2535355494
48	0.2534165392
49	0.2533593522
50	0.2533017175
51	0.2532007535
52	0.2531388847
53	0.2530801738
54	0.2529726996
55	0.2528929864
56	0.2528539868
57	0.2528002587
58	0.2527485183
59	0.2526982909
60	0.2526559313
61	0.2526093183
62	0.252566809
63	0.2525319998
64	0.2524352789
65	0.2523996342
66	0.2523669187
67	0.2522953885
68	0.2522332455
69	0.2521621199
70	0.2520936473
71	0.25201462
72	0.2519600769
73	0.2518975197
74	0.2518578799
75	0.2518176016
76	0.2517660051
77	0.2517368609
78	0.2516910063
79	0.2515742985
80	0.2515380867
81	0.2515020805
82	0.2514672013
83	0.2514030623
84	0.2513255063
85	0.2512818661
86	0.2512486522
87	0.2512084542
88	0.2511761124
89	0.2510880325
90	0.2510820188
91	0.2509956978
92	0.2509618392
93	0.250935285
94	0.2508865045
95	0.2508590365
96	0.2508301562
97	0.2507743082
98	0.2507338129
99	0.2506509747
100	0.2505691974
101	0.2504971483
102	0.2504739214
103	0.25044514
104	0.2504096758
105	0.2503847291
106	0.2503581634
107	0.2503378708
108	0.2503090901
109	0.2502853982
110	0.250255256
111	0.2502260579
112	0.2501720414
113	0.2500906662
114	0.250068129
115	0.2500078819
116	0.2499288121
117	0.2498307194
118	0.2497943079
119	0.2497518147
120	0.2497147585
121	0.2496898079
122	0.2496653409
123	0.2496328707
124	0.2495649523
125	0.2495070165
126	0.2494482888
127	0.2493700276
128	0.2493141931
129	0.2492967088
130	0.2492516571
131	0.2492240387
132	0.2491968334
133	0.2491275368
134	0.2490596191
135	0.2490012215
136	0.248942147
137	0.248839248
138	0.2487575612
139	0.2487368756
140	0.2486796532
141	0.248638289
142	0.248573827
143	0.2485040315
144	0.2484667029
145	0.2484125882
146	0.2483821602
147	0.2482978712
148	0.2482580361
149	0.248229021
150	0.2481909757
151	0.2481649617
152	0.2481305372
153	0.248110172
154	0.2480490502
155	0.2480154779
156	0.2479714659
157	0.2479046277
158	0.2478737701
159	0.2478417648
160	0.2477932701
161	0.2477636654
162	0.2477146261
163	0.2476891779
164	0.2476609597
165	0.2476297425
166	0.2475897166
167	0.2475605737
168	0.2475339052
169	0.2475039576
170	0.247452038
171	0.2474150126
172	0.2473837131
173	0.2473565944
174	0.247323814
175	0.2472949209
176	0.2472297627
177	0.2472126587
178	0.2471884165
179	0.2471603397
180	0.2471093423
181	0.2470390959
182	0.2470068369
183	0.2469568253
184	0.2469262728
185	0.24690602
186	0.2468810932
187	0.2468205506
188	0.2467958543
189	0.2467714914
190	0.2467303211
191	0.2466812658
192	0.2466173934
193	0.2465870906
194	0.2465585372
195	0.2465332289
196	0.2465073941
197	0.2464458978
198	0.2464100418
199	0.246389378
